,County,State,Hospital Count
951,Fort Bend County,TX,20
952,Foster County,ND,1
953,Fountain County,IN,1
954,Franklin City,VA,2
955,Franklin County,AL,7
956,Franklin County,AR,16
957,Franklin County,FL,2
958,Franklin County,GA,13
959,Franklin County,IA,1
960,Franklin County,ID,1
961,Franklin County,IL,1
962,Franklin County,IN,20
963,Franklin County,KS,3
964,Franklin County,KY,1
965,Franklin County,MA,4
966,Franklin County,ME,2
967,Franklin County,MO,15
968,Franklin County,MS,1
969,Franklin County,NC,12
970,Franklin County,NE,1
971,Franklin County,NY,13
972,Franklin County,OH,20
973,Franklin County,PA,17
974,Franklin County,TN,2
975,Franklin County,TX,6
976,Franklin County,VA,1
977,Franklin County,VT,15
978,Franklin County,WA,20
979,Franklin Parish,LA,1
980,Frederick County,MD,4
981,Frederick County,VA,17
982,Fredericksburg City,VA,20
983,Freeborn County,MN,4
984,Freestone County,TX,2
985,Fremont County,CO,5
986,Fremont County,IA,2
987,Fremont County,ID,1
988,Fremont County,WY,4
989,Fresno County,CA,20
990,Frio County,TX,2
991,Frontier County,NE,3
992,Fulton County,AR,1
993,Fulton County,GA,20
994,Fulton County,IL,8
995,Fulton County,IN,17
996,Fulton County,KY,13
997,Fulton County,NY,20
998,Fulton County,OH,1
999,Fulton County,PA,1
1000,Furnas County,NE,2
1001,Gadsden County,FL,2
1002,Gage County,NE,3
1003,Gaines County,TX,1
1004,Gallatin County,IL,7
1005,Gallatin County,KY,20
1006,Gallatin County,MT,9
1007,Gallia County,OH,5
1008,Galveston County,TX,12
1009,Garden County,NE,1
1010,Garfield County,CO,13
1011,Garfield County,MT,4
1012,Garfield County,NE,1
1013,Garfield County,OK,9
1014,Garfield County,UT,1
1015,Garfield County,WA,1
1016,Garland County,AR,20
1017,Garrard County,KY,16
1018,Garrett County,MD,1
1019,Garvin County,OK,4
1020,Garza County,TX,1
1021,Gasconade County,MO,2
1022,Gaston County,NC,20
1023,Gates County,NC,15
1024,Geary County,KS,1
1025,Geauga County,OH,16
1026,Gem County,ID,2
1027,Genesee County,MI,20
1028,Genesee County,NY,18
1029,Geneva County,AL,1
1030,Gentry County,MO,1
1031,George County,MS,1
1032,Georgetown County,SC,1
1033,Georgia,GA,20
1034,Gibson County,IN,1
1035,Gibson County,TN,20
1036,Gila County,AZ,20
1037,Gilchrist County,FL,1
1038,Giles County,TN,4
1039,Giles County,VA,1
1040,Gillespie County,TX,2
1041,Gilliam County,OR,1
1042,Gilmer County,GA,12
1043,Gilmer County,WV,9
1044,Gilpin County,CO,20
1045,Glacier County,MT,3
1046,Glades County,FL,7
1047,Gladwin County,MI,4
1048,Glascock County,GA,9
1049,Glasscock County,TX,3
